timestamp;rr_interval_ms
2023-09-22T20:12:44.917;672
2023-09-22T20:12:45.589;679
2023-09-22T20:12:46.268;1897
2023-09-22T20:12:48.165;621
2023-09-22T20:12:48.786;1873
2023-09-22T20:12:50.659;597
2023-09-22T20:12:51.256;603
2023-09-22T20:12:51.859;621
2023-09-22T20:12:52.480;637
2023-09-22T20:12:53.117;606
2023-09-22T20:12:53.723;601
2023-09-22T20:12:54.324;621
2023-09-22T20:12:54.945;656
2023-09-22T20:12:55.601;683
2023-09-22T20:12:56.284;670
2023-09-22T20:12:56.954;638
2023-09-22T20:12:57.592;634
2023-09-22T20:12:58.226;647
2023-09-22T20:12:58.873;662
2023-09-22T20:12:59.535;660
2023-09-22T20:13:00.195;618
2023-09-22T20:13:00.813;614
2023-09-22T20:13:01.427;617
2023-09-22T20:13:02.044;1209
2023-09-22T20:13:03.253;1167
2023-09-22T20:13:04.420;1207
2023-09-22T20:13:05.627;584
2023-09-22T20:13:06.211;594
2023-09-22T20:13:06.805;620
2023-09-22T20:13:07.425;658
2023-09-22T20:13:08.083;628
2023-09-22T20:13:08.711;615
2023-09-22T20:13:09.326;658
2023-09-22T20:13:09.984;1399
2023-09-22T20:13:11.383;647
2023-09-22T20:13:12.030;637
2023-09-22T20:13:12.667;654
2023-09-22T20:13:13.321;640
2023-09-22T20:13:13.961;628
2023-09-22T20:13:14.589;636
2023-09-22T20:13:15.225;630
2023-09-22T20:13:15.855;598
2023-09-22T20:13:16.453;604
2023-09-22T20:13:17.057;569
2023-09-22T20:13:17.626;666
2023-09-22T20:13:18.292;605
2023-09-22T20:13:18.897;596
2023-09-22T20:13:19.493;607
2023-09-22T20:13:20.100;618
2023-09-22T20:13:20.718;615
2023-09-22T20:13:21.333;1817
2023-09-22T20:13:23.150;613
2023-09-22T20:13:23.763;626
2023-09-22T20:13:24.389;593
2023-09-22T20:13:24.982;597
2023-09-22T20:13:25.579;615
2023-09-22T20:13:26.194;625
2023-09-22T20:13:26.819;629
2023-09-22T20:13:27.448;1165
2023-09-22T20:13:28.613;985
2023-09-22T20:13:29.598;1712
2023-09-22T20:13:31.310;400
2023-09-22T20:13:31.710;438
2023-09-22T20:13:32.148;1720
2023-09-22T20:13:33.868;379
2023-09-22T20:13:34.247;372
2023-09-22T20:13:34.619;301
2023-09-22T20:13:34.920;268
2023-09-22T20:13:35.188;484
2023-09-22T20:13:35.672;279
2023-09-22T20:13:35.951;538
2023-09-22T20:13:36.489;255
2023-09-22T20:13:36.744;297
2023-09-22T20:13:37.041;259
2023-09-22T20:13:37.300;1088
2023-09-22T20:13:38.388;558
2023-09-22T20:13:38.946;572
2023-09-22T20:13:39.518;3504
2023-09-22T20:13:38.727;2076
2023-09-22T20:13:40.803;2788
2023-09-22T20:13:39.296;1192
2023-09-22T20:13:40.488;1516
2023-09-22T20:13:42.004;638
2023-09-22T20:13:42.642;978
2023-09-22T20:13:43.620;6268
2023-09-22T20:13:45.593;2552
2023-09-22T20:13:43.850;1446
2023-09-22T20:13:45.296;520
2023-09-22T20:13:45.816;273
2023-09-22T20:13:46.089;2321
2023-09-22T20:13:44.115;389
2023-09-22T20:13:44.504;648
2023-09-22T20:13:45.152;525
2023-09-22T20:13:45.677;266
2023-09-22T20:13:45.943;376
2023-09-22T20:13:46.319;275
2023-09-22T20:13:46.594;999
2023-09-22T20:13:47.593;600
2023-09-22T20:13:48.193;377
2023-09-22T20:13:48.570;461
2023-09-22T20:13:49.031;1546
2023-09-22T20:13:50.577;1702
2023-09-22T20:13:52.279;672
2023-09-22T20:13:52.951;443
2023-09-22T20:13:53.394;353
2023-09-22T20:13:53.747;695
2023-09-22T20:13:54.442;765
2023-09-22T20:13:55.207;398
2023-09-22T20:13:55.605;1939
2023-09-22T20:13:57.544;1196
2023-09-22T20:13:58.740;370
2023-09-22T20:13:59.110;356
2023-09-22T20:13:59.466;356
2023-09-22T20:13:59.822;1585
2023-09-22T20:14:01.407;826
2023-09-22T20:14:02.233;356
2023-09-22T20:14:02.589;443
2023-09-22T20:14:03.032;786
2023-09-22T20:14:03.818;1602
2023-09-22T20:14:05.420;3211
2023-09-22T20:14:04.336;1184
2023-09-22T20:14:05.520;1129
2023-09-22T20:14:06.649;3189
2023-09-22T20:14:05.543;958
2023-09-22T20:14:06.501;1267
2023-09-22T20:14:07.768;1107
2023-09-22T20:14:08.875;751
2023-09-22T20:14:09.626;418
2023-09-22T20:14:10.044;2792
2023-09-22T20:14:08.541;777
2023-09-22T20:14:09.318;810
2023-09-22T20:14:10.128;429
2023-09-22T20:14:10.557;362
2023-09-22T20:14:10.919;4423
2023-09-22T20:14:11.047;960
2023-09-22T20:14:12.007;2108
2023-09-22T20:14:14.115;1208
2023-09-22T20:14:15.323;3213
2023-09-22T20:14:14.241;473
2023-09-22T20:14:14.714;2641
2023-09-22T20:14:13.060;679
2023-09-22T20:14:13.739;255
2023-09-22T20:14:13.994;317
2023-09-22T20:14:14.311;403
2023-09-22T20:14:14.714;748
2023-09-22T20:14:15.462;807
2023-09-22T20:14:16.269;414
2023-09-22T20:14:16.683;309
2023-09-22T20:14:16.992;473
2023-09-22T20:14:17.465;1732
2023-09-22T20:14:19.197;1070
2023-09-22T20:14:20.267;448
2023-09-22T20:14:20.715;345
2023-09-22T20:14:21.060;1177
2023-09-22T20:14:22.237;2379
2023-09-22T20:14:20.321;2218
2023-09-22T20:14:18.244;2562
2023-09-22T20:14:16.511;752
2023-09-22T20:14:17.263;1900
2023-09-22T20:14:19.163;1415
2023-09-22T20:14:20.578;468
2023-09-22T20:14:21.046;552
2023-09-22T20:14:21.598;542
2023-09-22T20:14:22.140;454
2023-09-22T20:14:22.594;271
2023-09-22T20:14:22.865;808
2023-09-22T20:14:23.673;1454
2023-09-22T20:14:25.127;266
2023-09-22T20:14:25.393;1224
2023-09-22T20:14:26.617;408
2023-09-22T20:14:27.025;393
2023-09-22T20:14:27.418;454
2023-09-22T20:14:27.872;619
2023-09-22T20:14:28.491;533
2023-09-22T20:14:29.024;2826
2023-09-22T20:14:27.555;561
2023-09-22T20:14:28.116;543
2023-09-22T20:14:28.659;1021
2023-09-22T20:14:29.680;510
2023-09-22T20:14:30.190;2888
2023-09-22T20:14:28.783;1881
2023-09-22T20:14:30.664;4680
2023-09-22T20:14:31.049;864
2023-09-22T20:14:31.913;1082
2023-09-22T20:14:32.995;7729
2023-09-22T20:14:32.134;543
2023-09-22T20:14:32.677;540
2023-09-22T20:14:33.217;1104
2023-09-22T20:14:34.321;456
2023-09-22T20:14:34.777;1728
2023-09-22T20:14:36.505;417
2023-09-22T20:14:36.922;504
2023-09-22T20:14:37.426;506
2023-09-22T20:14:37.932;496
2023-09-22T20:14:38.428;493
2023-09-22T20:14:38.921;493
2023-09-22T20:14:39.414;1445
2023-09-22T20:14:40.859;478
2023-09-22T20:14:41.337;483
2023-09-22T20:14:41.820;482
2023-09-22T20:14:42.302;473
2023-09-22T20:14:42.775;474
2023-09-22T20:14:43.249;473
2023-09-22T20:14:43.722;468
2023-09-22T20:14:44.190;465
2023-09-22T20:14:44.655;462
2023-09-22T20:14:45.117;1371
2023-09-22T20:14:46.488;454
2023-09-22T20:14:46.942;464
2023-09-22T20:14:47.406;941
2023-09-22T20:14:48.347;467
2023-09-22T20:14:48.814;473
2023-09-22T20:14:49.287;476
2023-09-22T20:14:49.763;966
2023-09-22T20:14:50.729;481
2023-09-22T20:14:51.210;478
2023-09-22T20:14:51.688;263
2023-09-22T20:14:51.951;334
2023-09-22T20:14:52.285;1319
2023-09-22T20:14:53.604;472
2023-09-22T20:14:54.076;469
2023-09-22T20:14:54.545;1375
2023-09-22T20:14:55.920;453
2023-09-22T20:14:56.373;454
2023-09-22T20:14:56.827;475
2023-09-22T20:14:57.302;482
2023-09-22T20:14:57.784;750
2023-09-22T20:14:58.534;264
2023-09-22T20:14:58.798;2923
2023-09-22T20:14:57.426;2613
2023-09-22T20:14:55.744;526
2023-09-22T20:14:56.270;528
2023-09-22T20:14:56.798;537
2023-09-22T20:14:57.335;1056
2023-09-22T20:14:58.391;523
2023-09-22T20:14:58.914;516
2023-09-22T20:14:59.430;1052
2023-09-22T20:15:00.482;386
2023-09-22T20:15:00.868;305
2023-09-22T20:15:01.173;850
2023-09-22T20:15:02.023;998
2023-09-22T20:15:03.021;499
2023-09-22T20:15:03.520;498
2023-09-22T20:15:04.018;490
2023-09-22T20:15:04.508;489
2023-09-22T20:15:04.997;488
2023-09-22T20:15:05.485;482
2023-09-22T20:15:05.967;961
2023-09-22T20:15:06.928;475
2023-09-22T20:15:07.403;477
2023-09-22T20:15:07.880;478
2023-09-22T20:15:08.358;480
2023-09-22T20:15:08.838;488
2023-09-22T20:15:09.326;490
2023-09-22T20:15:09.816;486
2023-09-22T20:15:10.302;485
2023-09-22T20:15:10.787;495
2023-09-22T20:15:11.282;500
2023-09-22T20:15:11.782;495
2023-09-22T20:15:12.277;493
2023-09-22T20:15:12.770;491
2023-09-22T20:15:13.261;497
2023-09-22T20:15:13.758;496
2023-09-22T20:15:14.254;494
2023-09-22T20:15:14.748;486
2023-09-22T20:15:15.234;481
2023-09-22T20:15:15.715;479
2023-09-22T20:15:16.194;479
2023-09-22T20:15:16.673;482
2023-09-22T20:15:17.155;476
2023-09-22T20:15:17.631;479
2023-09-22T20:15:18.110;485
2023-09-22T20:15:18.595;501
2023-09-22T20:15:19.096;524
2023-09-22T20:15:19.620;526
2023-09-22T20:15:20.146;519
2023-09-22T20:15:20.665;505
2023-09-22T20:15:21.170;502
2023-09-22T20:15:21.672;519
2023-09-22T20:15:22.191;524
2023-09-22T20:15:22.715;529
2023-09-22T20:15:23.244;521
2023-09-22T20:15:23.765;519
2023-09-22T20:15:24.284;516
2023-09-22T20:15:24.800;1030
2023-09-22T20:15:25.830;547
2023-09-22T20:15:26.377;532
2023-09-22T20:15:26.909;533
2023-09-22T20:15:27.442;501
2023-09-22T20:15:27.943;495
2023-09-22T20:15:28.438;485
2023-09-22T20:15:28.923;484
2023-09-22T20:15:29.407;495
2023-09-22T20:15:29.902;514
2023-09-22T20:15:30.416;525
2023-09-22T20:15:30.941;520
2023-09-22T20:15:31.461;509
2023-09-22T20:15:31.970;515
2023-09-22T20:15:32.485;530
2023-09-22T20:15:33.015;536
2023-09-22T20:15:33.551;526
2023-09-22T20:15:34.077;518
2023-09-22T20:15:34.595;513
2023-09-22T20:15:35.108;530
2023-09-22T20:15:35.638;534
2023-09-22T20:15:36.172;523
2023-09-22T20:15:36.695;520
2023-09-22T20:15:37.215;530
2023-09-22T20:15:37.745;556
2023-09-22T20:15:38.301;541
2023-09-22T20:15:38.842;532
2023-09-22T20:15:39.374;544
2023-09-22T20:15:39.918;550
2023-09-22T20:15:40.468;551
2023-09-22T20:15:41.019;545
2023-09-22T20:15:41.564;564
2023-09-22T20:15:42.128;568
2023-09-22T20:15:42.696;573
2023-09-22T20:15:43.269;539
2023-09-22T20:15:43.808;538
2023-09-22T20:15:44.346;549
2023-09-22T20:15:44.895;554
2023-09-22T20:15:45.449;555
2023-09-22T20:15:46.004;555
2023-09-22T20:15:46.559;534
2023-09-22T20:15:47.093;522
2023-09-22T20:15:47.615;520
2023-09-22T20:15:48.135;532
2023-09-22T20:15:48.667;555
2023-09-22T20:15:49.222;544
2023-09-22T20:15:49.766;534
2023-09-22T20:15:50.300;569
2023-09-22T20:15:50.869;544
2023-09-22T20:15:51.413;542
2023-09-22T20:15:51.955;530
2023-09-22T20:15:52.485;538
2023-09-22T20:15:53.023;551
2023-09-22T20:15:53.574;541
2023-09-22T20:15:54.115;526
2023-09-22T20:15:54.641;515
2023-09-22T20:15:55.156;506
2023-09-22T20:15:55.662;504
2023-09-22T20:15:56.166;525
2023-09-22T20:15:56.691;522
2023-09-22T20:15:57.213;517
2023-09-22T20:15:57.730;535
2023-09-22T20:15:58.265;537
2023-09-22T20:15:58.802;535
2023-09-22T20:15:59.337;521
2023-09-22T20:15:59.858;511
2023-09-22T20:16:00.369;508
2023-09-22T20:16:00.877;517
2023-09-22T20:16:01.394;509
